index,Sku,Style Id,Gender,Catalog,Category,Weight,TP 1,TP 2,Ajio MRP,Amazon MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Snapdeal MRP
39,Os181_5051_L,Os181_5051,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
40,Os181_5051_XL,Os181_5051,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
41,Os181_5051_2XL,Os181_5051,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
42,Os181_5051_3XL,Os181_5051,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
43,Os191_5052_S,Os191_5052,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
44,Os191_5052_M,Os191_5052,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
45,Os191_5052_L,Os191_5052,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
46,Os191_5052_XL,Os191_5052,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
47,Os191_5052_2XL,Os191_5052,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
48,Os191_5052_3XL,Os191_5052,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
49,Os197_5053_S,Os197_5053,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
50,Os197_5053_M,Os197_5053,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
51,Os197_5053_L,Os197_5053,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
52,Os197_5053_XL,Os197_5053,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
53,Os197_5053_2XL,Os197_5053,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
54,Os197_5053_3XL,Os197_5053,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
55,OS219_5054_S,OS219_5054,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
56,OS219_5054_M,OS219_5054,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
57,OS219_5054_L,OS219_5054,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
58,OS219_5054_XL,OS219_5054,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
59,OS219_5054_2XL,OS219_5054,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
60,OS219_5054_3XL,OS219_5054,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
61,Os195_5055_S,Os195_5055,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
62,Os195_5055_M,Os195_5055,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
63,Os195_5055_L,Os195_5055,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
64,Os195_5055_XL,Os195_5055,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
65,Os195_5055_2XL,Os195_5055,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
66,Os195_5055_3XL,Os195_5055,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
67,Os189_5056_S,Os189_5056,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
68,Os189_5056_M,Os189_5056,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
69,Os189_5056_L,Os189_5056,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
70,Os189_5056_XL,Os189_5056,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
71,Os189_5056_2XL,Os189_5056,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
72,Os189_5056_3XL,Os189_5056,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
73,Os182_5057_S,Os182_5057,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
74,Os182_5057_M,Os182_5057,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
75,Os182_5057_L,Os182_5057,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
76,Os182_5057_XL,Os182_5057,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
77,Os182_5057_2XL,Os182_5057,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
78,Os182_5057_3XL,Os182_5057,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
79,Os209_5058_S,Os209_5058,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
80,Os209_5058_M,Os209_5058,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
81,Os209_5058_L,Os209_5058,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
82,Os209_5058_XL,Os209_5058,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
83,Os209_5058_2XL,Os209_5058,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
84,Os209_5058_3XL,Os209_5058,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
85,Os218_3151_S,Os218_3151,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
86,Os218_3151_M,Os218_3151,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
87,Os218_3151_L,Os218_3151,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
88,Os218_3151_XL,Os218_3151,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
89,Os218_3151_2XL,Os218_3151,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
90,Os218_3151_3XL,Os218_3151,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
91,Os201_3152_S,Os201_3152,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
92,Os201_3152_M,Os201_3152,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
93,Os201_3152_L,Os201_3152,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
94,Os201_3152_XL,Os201_3152,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
95,Os201_3152_2XL,Os201_3152,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
96,Os201_3152_3XL,Os201_3152,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
97,Os175_3153_S,Os175_3153,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
98,Os175_3153_M,Os175_3153,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
99,Os175_3153_L,Os175_3153,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
100,Os175_3153_XL,Os175_3153,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
101,Os175_3153_2XL,Os175_3153,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
102,Os175_3153_3XL,Os175_3153,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
103,Os220_3154_S,Os220_3154,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
104,Os220_3154_M,Os220_3154,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
105,Os220_3154_L,Os220_3154,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
106,Os220_3154_XL,Os220_3154,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
107,Os220_3154_2XL,Os220_3154,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
108,Os220_3154_3XL,Os220_3154,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
109,Os174_3155_S,Os174_3155,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
110,Os174_3155_M,Os174_3155,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
111,Os174_3155_L,Os174_3155,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
112,Os174_3155_XL,Os174_3155,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
113,Os174_3155_2XL,Os174_3155,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
114,Os174_3155_3XL,Os174_3155,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
115,Os222_3156_S,Os222_3156,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
116,Os222_3156_M,Os222_3156,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
117,Os222_3156_L,Os222_3156,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
118,Os222_3156_XL,Os222_3156,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
119,Os222_3156_2XL,Os222_3156,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
120,Os222_3156_3XL,Os222_3156,Male,Breeze-4,Kurta,0.3,505,409.05,2195,2195,2195,2195,2195,2195
121,Os228_1432_S,Os228_1432,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
122,Os228_1432_M,Os228_1432,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
123,Os228_1432_L,Os228_1432,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
124,Os228_1432_XL,Os228_1432,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
125,Os228_1432_2XL,Os228_1432,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
126,Os228_1432_3XL,Os228_1432,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
127,Os227_1437_S,Os227_1437,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
128,Os227_1437_M,Os227_1437,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
129,Os227_1437_L,Os227_1437,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
130,Os227_1437_XL,Os227_1437,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
131,Os227_1437_2XL,Os227_1437,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
132,Os227_1437_3XL,Os227_1437,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
133,OS224_1433_S,OS224_1433,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
134,OS224_1433_M,OS224_1433,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
135,OS224_1433_L,OS224_1433,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
136,OS224_1433_XL,OS224_1433,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
137,OS224_1433_2XL,OS224_1433,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
138,OS224_1433_3XL,OS224_1433,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
139,Os232_1431_S,Os232_1431,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
140,Os232_1431_M,Os232_1431,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
141,Os232_1431_L,Os232_1431,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
142,Os232_1431_XL,Os232_1431,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
143,Os232_1431_2XL,Os232_1431,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
144,Os232_1431_3XL,Os232_1431,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
145,Os226_1436_S,Os226_1436,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
146,Os226_1436_M,Os226_1436,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
147,Os226_1436_L,Os226_1436,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
148,Os226_1436_XL,Os226_1436,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
149,Os226_1436_2XL,Os226_1436,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
150,Os226_1436_3XL,Os226_1436,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
151,Os230_1438_S,Os230_1438,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
152,Os230_1438_M,Os230_1438,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
153,Os230_1438_L,Os230_1438,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
154,Os230_1438_XL,Os230_1438,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
155,Os230_1438_2XL,Os230_1438,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
156,Os230_1438_3XL,Os230_1438,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
157,Os225_1434_S,Os225_1434,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
158,Os225_1434_M,Os225_1434,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
159,Os225_1434_L,Os225_1434,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
160,Os225_1434_XL,Os225_1434,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
161,Os225_1434_2XL,Os225_1434,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
162,Os225_1434_3XL,Os225_1434,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
163,Os229_1435_S,Os229_1435,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
164,Os229_1435_M,Os229_1435,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
165,Os229_1435_L,Os229_1435,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
166,Os229_1435_XL,Os229_1435,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
167,Os229_1435_2XL,Os229_1435,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
168,Os229_1435_3XL,Os229_1435,Female,Rozana,Kurta Set,0.4,590,477.9,2495,2495,2495,2495,2495,2495
169,Os200_5041_S,Os200_5041,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
170,Os200_5041_M,Os200_5041,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
171,Os200_5041_L,Os200_5041,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
172,Os200_5041_XL,Os200_5041,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
173,Os200_5041_2XL,Os200_5041,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
174,Os200_5041_3XL,Os200_5041,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
175,Os188_5042_S,Os188_5042,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
176,Os188_5042_M,Os188_5042,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
177,Os188_5042_L,Os188_5042,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
178,Os188_5042_XL,Os188_5042,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
179,Os188_5042_2XL,Os188_5042,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
180,Os188_5042_3XL,Os188_5042,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
181,Os208_5043_S,Os208_5043,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
182,Os208_5043_M,Os208_5043,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
183,Os208_5043_L,Os208_5043,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
184,Os208_5043_XL,Os208_5043,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
185,Os208_5043_2XL,Os208_5043,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
186,Os208_5043_3XL,Os208_5043,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
187,Os183_5044_S,Os183_5044,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
188,Os183_5044_M,Os183_5044,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
189,Os183_5044_L,Os183_5044,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
190,Os183_5044_XL,Os183_5044,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
191,Os183_5044_2XL,Os183_5044,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
192,Os183_5044_3XL,Os183_5044,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
193,Os198_5045_S,Os198_5045,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
194,Os198_5045_M,Os198_5045,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
195,Os198_5045_L,Os198_5045,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
196,Os198_5045_XL,Os198_5045,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
197,Os198_5045_2XL,Os198_5045,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
198,Os198_5045_3XL,Os198_5045,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
199,Os199_5046_S,Os199_5046,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
200,Os199_5046_M,Os199_5046,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
201,Os199_5046_L,Os199_5046,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
202,Os199_5046_XL,Os199_5046,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
203,Os199_5046_2XL,Os199_5046,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
204,Os199_5046_3XL,Os199_5046,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
205,Os170_5048_S,Os170_5048,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
206,Os170_5048_M,Os170_5048,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
207,Os170_5048_L,Os170_5048,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
208,Os170_5048_XL,Os170_5048,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
209,Os170_5048_2XL,Os170_5048,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
210,Os170_5048_3XL,Os170_5048,Male,Colors-7,Kurta,0.3,381,308.61,1595,1595,1595,1595,1595,1595
211,Os235_1112_S,Os235_1112,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
212,Os235_1112_M,Os235_1112,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
213,Os235_1112_L,Os235_1112,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
214,Os235_1112_XL,Os235_1112,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
215,Os235_1112_2XL,Os235_1112,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
216,Os235_1112_3XL,Os235_1112,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
217,Os233_1058_S,Os233_1058,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
218,Os233_1058_M,Os233_1058,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
219,Os233_1058_L,Os233_1058,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
220,Os233_1058_XL,Os233_1058,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
221,Os233_1058_2XL,Os233_1058,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
222,Os233_1058_3XL,Os233_1058,Male,Mix,Kurta,0.3,952,771.12,3995,3995,3995,3995,3995,3995
223,Os179_1116_S,Os179_1116,Male,Mix,Kurta,0.3,570,461.7,2395,2395,2395,2395,2395,2395
224,Os179_1116_M,Os179_1116,Male,Mix,Kurta,0.3,570,461.7,2395,2395,2395,2395,2395,2395
225,Os179_1116_L,Os179_1116,Male,Mix,Kurta,0.3,570,461.7,2395,2395,2395,2395,2395,2395
226,Os179_1116_XL,Os179_1116,Male,Mix,Kurta,0.3,570,461.7,2395,2395,2395,2395,2395,2395
227,Os179_1116_2XL,Os179_1116,Male,Mix,Kurta,0.3,570,461.7,2395,2395,2395,2395,2395,2395
